geoid10,tractce10,aland10,awater10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi,name,population,median_hh_income,households,hh_no_vehicle,pct_no_vehicle,dist_venue_km,dist_28x28_km,dist_stop_km,venue_access,a_base,a_plan,access_change,ces_disadvantage_decile,hpi_disadvantage_decile,venue_within_3km,project_within_3km,project_closer_than_stop
06037550202,550202,1264789,0,44.3088691533654,81.2531517902168,9.0,86.1978842563783,67.8517397881997,5710.0,-0.205704588,0.369319641,2.0,No,0.6306803590000001,79.8,5710.0,"Census Tract 5502.02, Los Angeles County, California",5710.0,82009.0,1453.0,63.0,0.0433585684790089,13.438523993431296,1.2793842939312605,1.6930423107271126,0.06925915699242824,0.3713272517170379,0.4387149646781575,0.06738771296111962,7,6,False,True,True
06037550201,550201,571346,0,37.2494089263387,70.8900655572365,8.0,86.5090230242688,52.6222894604135,2911.0,-0.507630333,0.210397946,1.0,Yes,0.7896020539999999,78.3,2911.0,"Census Tract 5502.01, Los Angeles County, California",2911.0,67750.0,769.0,38.0,0.0494148244473342,12.805998374411198,1.4519722021921353,2.3652475572738525,0.07243228435065265,0.2971549590277656,0.4078349661166511,0.11068000708888548,5,8,False,True,True
06037544002,544002,1143786,0,45.5049307388153,82.5642965204236,9.0,95.9676415681394,57.8668683812405,3187.0,-0.085302149,0.438767651,2.0,No,0.561232349,79.3,3187.0,"Census Tract 5440.02, Los Angeles County, California",3187.0,80625.0,808.0,16.0,0.0198019801980198,5.629081289748217,6.904889625371259,2.1730527209133497,0.15085046574198543,0.3151539189402924,0.3151539189402924,0.0,7,5,False,False,False
06037544001,544001,2257876,18703,56.5455392574355,93.6207766011094,10.0,96.2289981331674,77.5088250126072,4574.0,-0.166811361,0.392169448,2.0,No,0.607830552,79.1,4574.0,"Census Tract 5440.01, Los Angeles County, California",4574.0,78611.0,1144.0,63.0,0.05506993006993,5.083664530123604,7.42911487755704,1.0527907894971251,0.16437461254617908,0.48714170246495075,0.48714170246495075,0.0,9,5,False,False,False
06037543905,543905,2741485,1393,56.2548962582967,93.3812405446293,10.0,84.4555071561917,91.8053454362078,4636.0,-0.496036038,0.215917843,1.0,Yes,0.7840821570000001,83.5,4636.0,"Census Tract 5439.05, Los Angeles County, California",4636.0,66250.0,949.0,45.0,0.0474183350895679,5.542231141909959,6.66116516376251,5.659964481428426,0.15285305246920045,0.1501509509230176,0.1501509509230176,0.0,9,7,False,False,False
06037139504,139504,289067,0,49.6932001706251,87.5189107413011,9.0,87.8282514001245,76.7650025214322,3998.0,-0.205058767,0.370346598,2.0,No,0.629653402,79.8,3998.0,"Census Tract 1395.04, Los Angeles County, California",3998.0,56212.0,1801.0,137.0,0.0760688506385341,3.1438951097817642,2.929328249282749,13.227411292100447,0.2413188494176592,0.07028685538564804,0.25449642701205677,0.18420957162640872,8,6,False,True,True
06037139503,139503,351727,0,32.9245091810967,63.8426626323752,7.0,73.366521468575,51.5002521432174,5946.0,-0.061609111,0.452503209,2.0,No,0.5474967909999999,82.0,5946.0,"Census Tract 1395.03, Los Angeles County, California",5946.0,57006.0,2749.0,225.0,0.0818479447071662,3.5445160488450913,3.223821141559297,13.62952326294657,0.220045432616336,0.06835492736340797,0.236752449141545,0.16839752177813705,5,5,False,False,True
06037139401,139401,907259,0,37.2302355794935,70.839636913767,8.0,89.2719352831363,50.3025718608169,2706.0,-0.134323124,0.410654685,2.0,No,0.589345315,80.1,2706.0,"Census Tract 1394.01, Los Angeles County, California",2706.0,57440.0,1313.0,286.0,0.2178217821782178,4.714564238065886,4.058331934636996,14.83842941625723,0.17499147062496814,0.0631375734120176,0.19769362962372763,0.13455605621171002,5,5,False,False,True
06037137103,137103,759847,0,30.078032656154,58.8124054462935,6.0,76.1543248288737,43.4316691880988,5382.0,0.239308028,0.629139923,3.0,No,0.370860077,84.0,5382.0,"Census Tract 1371.03, Los Angeles County, California",5382.0,89344.0,2395.0,133.0,0.0555323590814196,10.57097082157778,8.439929355526726,20.103825634148045,0.0864231718686197,0.04738477361099414,0.10593299614202488,0.05854822253103074,4,3,False,False,True
06037134905,134905,2586728,0,34.9769442179473,67.5617750882501,7.0,80.3111387678905,52.1684316691881,4552.0,0.087401183,0.542105263,3.0,No,0.457894737,82.5,4552.0,"Census Tract 1349.05, Los Angeles County, California",4552.0,84224.0,2434.0,67.0,0.0275267050123253,9.036479990825496,7.54476338708188,19.179036321693864,0.0996365260444016,0.04955638039686418,0.11703074206967712,0.06747436167281294,5,4,False,False,True
06037134522,134522,615306,0,55.0140434261839,92.5491679273828,10.0,79.3154947106409,93.5703479576399,4167.0,-1.022474706,0.036071887,1.0,Yes,0.963928113,75.9,4167.0,"Census Tract 1345.22, Los Angeles County, California",4167.0,37869.0,1399.0,146.0,0.1043602573266619,11.139650394589875,5.033183713324049,21.09976731460088,0.08237469511030214,0.04524934519737318,0.165749966769873,0.12050062157249983,9,10,False,False,True
06037301206,301206,828425,0,39.4365156784527,74.0292486132123,8.0,89.0230242688239,54.8159354513364,5281.0,-0.253289045,0.343774069,2.0,No,0.656225931,83.2,5281.0,"Census Tract 3012.06, Los Angeles County, California",5281.0,63715.0,1861.0,155.0,0.0832885545405695,5.658507638849522,9.667251555319258,7.438869034656622,0.15018380307404486,0.11849929130233149,0.11849929130233149,0.0,6,6,False,False,False
06037301205,301205,773299,0,21.0720513334639,40.1033787191125,5.0,64.8288736776602,26.9541099344428,2106.0,0.420759231,0.741976893,3.0,No,0.258023107,84.5,2106.0,"Census Tract 3012.05, Los Angeles County, California",2106.0,107159.0,747.0,51.0,0.0682730923694779,6.101181299667451,9.566618621481316,7.938676180428098,0.14082164048491905,0.1118733892821372,0.1118733892821372,0.0,2,2,False,False,False
06037300301,300301,6151313,19081,12.0743163907738,18.1543116490166,2.0,45.6627255756067,11.2834089762985,6024.0,0.459446943,0.766880616,4.0,No,0.2331193839999999,84.0,6024.0,"Census Tract 3003.01, Los Angeles County, California",6024.0,114890.0,2061.0,52.0,0.0252304706453178,12.55884238543472,14.33278012030556,14.242983794120844,0.07375260893025995,0.06560395349798219,0.06560395349798219,0.0,1,2,False,False,False
