stop_id,stop_name,stop_lat,stop_lon,location_type,feed
bus_684,Cesar E Chavez / Warren,34.052236,-118.220235,,bus
bus_692,Chase / Hazeltine,34.225297,-118.44064,,bus
bus_693,Chase / Katherine,34.224848,-118.443195,,bus
bus_694,Chase / Lennox,34.224714,-118.446125,,bus
bus_695,Chase / Ranchito,34.226576,-118.437216,,bus
bus_696,Van Nuys / Chase,34.224492,-118.448913,,bus
bus_697,Chase / Woodman,34.227801,-118.434543,,bus
bus_698,Lurline / Vintage,34.251948,-118.584265,,bus
bus_701,Buena Vista / Alameda,34.158369,-118.328339,,bus
bus_702,Riverside / Laurel Canyon,34.157535,-118.396713,,bus
bus_703,Chatsworth Station,34.253382,-118.599048,,bus
bus_705,Church / Farlin,34.068141,-118.463081,,bus
bus_706,Church / Homedale,34.069308,-118.464094,,bus
bus_707,Church / Joffre,34.070529,-118.465234,,bus
bus_708,Cal State La Transit Center,34.063181,-118.169085,,bus
bus_709,Western / Pacific Coast Highway,33.789291,-118.307453,,bus
bus_711,Western / Pacific Coast Highway,33.789208,-118.307755,,bus
bus_712,City Terrace / Lafler,34.057437,-118.173532,,bus
bus_713,City Terrace / Alma,34.048753,-118.192007,,bus
bus_714,City Terrace / Bonnie Beach,34.05573,-118.181145,,bus
bus_715,City Terrace / Ditman,34.048843,-118.189257,,bus
bus_717,City Terrace / Herbert,34.055362,-118.183396,,bus
bus_718,City Terrace / Rowan,34.054289,-118.187543,,bus
bus_719,City Terrace / Pomeroy,34.050902,-118.188694,,bus
bus_720,City Terrace / Van Pelt,34.055902,-118.176791,,bus
bus_721,Civic Center / Malibu Perf Arts Ctr,34.036573,-118.687438,,bus
bus_722,Civic Center / Webb,34.035938,-118.690354,,bus
bus_723,Civic Center / Winter Canyon,34.037038,-118.699341,,bus
bus_725,Norwalk / Civic Center,33.829986,-118.072099,,bus
bus_727,Clark / Ives,33.894424,-118.134112,,bus
bus_728,Clark / Linden,33.891619,-118.134104,,bus
