geoid10,ces_score,ces_percentile,ces_decile,pollution_pctile,popchar_pctile,total_pop_acs2019
06037553902,46.5355553442041,83.8880484114977,9,83.7834474175482,74.2939989914271,5415
06037554001,40.6232210604851,76.084215834594,8,64.0074673304294,76.3741805345436,3756
06037554002,46.2390465205275,83.5224407463439,9,72.1344119477287,82.7155824508321,5856
06037554101,44.0292435425282,80.9001512859304,9,65.6751711263223,82.9299041855774,3548
06037554103,26.4794502681859,51.9036812909733,6,37.0877411325451,57.9046898638427,1396
06037554104,43.0258536957305,79.5511850731215,8,58.9296826384567,85.4891578416541,2414
06037554105,49.3583464709552,87.2541603630862,9,66.3845675171126,92.9778113968734,4478
06037554201,37.8268916417854,71.8356026222895,8,69.3341630367144,65.9606656580938,4356
06037554203,42.7069655990953,78.958648512355,8,70.8525202240199,76.1976802824004,3730
06037554204,37.6516880269909,71.5582450832073,8,58.6309894212819,72.9198184568835,4313
06037554301,46.1701982976641,83.4467977811397,9,86.7952706907281,70.7513867876954,3499
06037554302,51.8576037732287,89.851235501765,9,84.181705040448,84.2284417549168,4393
06037554403,50.9969705159281,88.8678769541099,9,81.5805849408836,84.9596570852244,5848
06037554404,44.5503903653536,81.4548663640948,9,68.6123210952085,81.9465456379223,4206
06037554405,38.2063315097935,72.4659606656581,8,76.5650280024891,61.8255168935956,3015
06037554406,31.1116856615341,60.8799798285426,7,73.5407591785936,47.1507816439738,4766
06037554511,34.7740842196055,67.1961674230963,7,86.4965774735532,47.2642460917801,4140
06037554512,32.3169652170043,62.9727685325265,7,72.9060360920971,50.3151790216843,6455
06037554513,22.8745279214577,44.1628845184065,5,41.5432482887368,43.9485627836611,2758
06037554514,18.8283442817729,34.7957639939486,4,57.3988799004356,24.0796772566818,4700
06037554515,13.0997205953603,20.738779626828,3,41.3192283758556,15.0151285930408,3793
06037554516,21.8740163131121,41.9566313666162,5,39.6017423771002,41.9188098840141,3885
06037554517,21.4901246789701,41.0993444276349,5,53.9265712507778,33.2450832072617,4510
06037554518,21.6543990783735,41.3767019667171,5,66.5090230242688,27.7105395864851,5511
06037554519,23.3519022369581,45.3353504790721,5,41.5183571873055,45.2471003530005,3498
06037554521,31.67375964794,61.737266767524,7,89.34660858743,38.8048411497731,5949
06037554522,25.344183975984,49.5713565305093,5,88.4131922837586,26.285930408472,4944
06037554600,31.8684980472049,62.1406959152799,7,72.2588674548849,49.6091780131114,4173
06037554700,35.6897732497254,68.6964195663137,7,62.2028624766646,65.6328794755421,4328
06037554801,38.023574417077,72.1886031265759,8,82.6260112009956,56.833081190116,2744
06037554802,36.5563278702826,69.9571356530509,7,65.8120721841942,65.393343419062,6378
06037554900,32.8556988335081,63.7291981845688,7,74.4741754822651,50.7690368129097,7636
06037555001,43.1591442511316,79.7276853252648,8,78.0211574362166,72.0373171961674,5321
06037555002,32.1901006351026,62.7584467977811,7,87.0441817050404,41.4271306101866,3625
06037555102,38.9610782781612,73.3610690872415,8,70.3795892968264,68.0408472012103,5987
06037555103,32.7542181650881,63.6283408976299,7,53.1176104542626,64.4730206757438,4873
06037555104,31.5139276710242,61.5229450327786,7,54.8102053515868,59.8840141200202,4210
06037555202,15.0505204888265,25.6555723651034,3,72.2837585563161,11.4220877458396,3661
06037555211,52.2442978246211,90.3050932929904,10,88.1144990665837,81.3287947554211,5652
06037555212,40.2110441667776,75.302571860817,8,59.6764156813939,78.7443267776097,5110
06037570001,19.7979573344715,36.9389813414019,4,57.8344741754823,26.4246091780131,4764
06037570002,21.9611660412322,42.0448814926878,5,37.7224642190417,43.5451336359052,2679
06037570003,22.9440225379026,44.3267776096823,5,63.3229620410703,32.5895108421583,4119
06037570100,56.8111649852624,93.7972768532526,10,91.2009956440572,85.9430156328795,3192
06037570202,68.1992647571599,98.6762481089259,10,99.2781580584941,84.3923348461926,6124
06037570203,69.3798588087769,98.9409984871407,10,97.1748599875545,93.7720625315179,4165
06037570204,61.0281411146876,96.2682803832577,10,93.2171748599876,89.9268784669692,4201
06037570301,71.4203062108038,99.2939989914271,10,96.3658991910392,97.1129601613717,7273
06037570303,51.0253337426227,88.8804841149773,9,74.77286869944,90.1790216843167,4471
06037570304,49.5851234504091,87.4180534543621,9,82.9495955196017,81.1396873424105,5094
06037570402,71.2143346008294,99.2309631870903,10,98.3696328562539,93.0282400403429,3400
06037570403,74.3686763105795,99.5965708522441,10,97.2246421904169,97.8946041351488,4832
06037570404,60.464601172662,95.9783156833081,10,92.6820161792159,89.750378214826,3676
06037570501,63.6714488381312,97.3398890569844,10,94.051026757934,92.4483106404438,8042
06037570502,69.3881311037086,98.9536056480081,10,98.3447417548226,90.8472012102874,6588
06037570601,47.6523802155205,85.0605143721634,9,62.4393279402614,92.5365607665154,5610
06037570602,48.0480775857736,85.5395864851236,9,78.5687616677038,81.8078668683812,6177
06037570603,48.7205846612679,86.4094805849723,9,82.8251400124456,79.6646495209279,5172
06037570701,38.9948777484837,73.4367120524458,8,90.2800248911014,52.9878971255673,7372
06037570702,32.320292082792,62.9853756933939,7,63.4598630989421,55.7236510337872,2296
06037570800,23.053625570281,44.6419566313666,5,57.1001866832607,35.8421583459405,5300
06037570901,22.2386229664063,42.624810892587,5,68.7616677037959,28.1896116994453,5752
06037570902,15.9975407763939,27.8113968734241,3,43.2980709396391,22.0499243570348,3583
06037571000,22.5136716690916,43.2803832576904,5,75.7062850031114,25.9077155824508,5628
06037571101,20.0294920875031,37.61976802824,4,54.5612943372744,28.4417549167927,4402
06037571102,22.1676819548123,42.4735249621785,5,40.5724953329185,42.2718103883006,4073
06037571200,19.8920796117447,37.2541603630862,4,67.5295581829496,22.970247100353,8175
06037571300,25.2299986150308,49.2939989914271,5,72.1841941505912,34.2788703983863,4484
06037571400,35.0443007169151,67.6374180534544,7,71.2009956440573,57.6651538073626,4844
06037571502,29.1576491289617,57.1860816944024,6,49.1101431238332,56.933938477055,4739
06037571503,29.4339622581759,57.6525466464952,6,53.7025513378967,54.7150781643974,3878
06037571504,30.201593010802,59.0897629853757,6,62.1281891723709,51.5506807866868,4512
06037571600,44.7107872408182,81.631366616238,9,50.8400746733043,94.9445284921836,2309
06037571701,58.3363720496328,94.6671709531014,10,91.3130056004978,88.4896621280888,6247
06037571703,47.7823424257537,85.2244074634392,9,59.6639701306783,94.4402420574887,3557
