geoid10,hpi_score,hpi_percentile,hpi_quartile,hpi_least_healthy_25,disadvantage_pctile,leb,pop_hpi
06037577200,0.563865643,0.821437741,4,No,0.178562259,78.5,5848
06037577300,0.593606398,0.836713736,4,No,0.16328626400000001,81.8,5431
06037577400,0.401978115,0.730038511,3,No,0.26996148900000005,83.6,2947
06037577501,0.827728508,0.930038511,4,No,0.06996148899999999,82.7,3370
06037577504,,,,,,,1378
06037577602,0.59475654,0.837740693,4,No,0.16225930700000002,82.4,3259
06037577603,0.791289725,0.920025674,4,No,0.07997432599999998,80.9,8457
06037577604,,,,,,,1367
06037599000,-0.03680867,0.468806162,2,No,0.531193838,79.5,3684
06037599100,,,,,,,483
06037600100,-0.929423181,0.058536585,1,Yes,0.941463415,76.8,7410
06037600201,-1.14297733,0.019897304,1,Yes,0.980102696,76.2,5063
06037600202,-1.024859096,0.035558408,1,Yes,0.964441592,78.7,7767
06037600302,-0.439001416,0.244159178,1,Yes,0.755840822,76.8,3086
06037600303,-1.211903732,0.01283697,1,Yes,0.98716303,72.0,3883
06037600304,-0.994589842,0.043774069,1,Yes,0.956225931,74.8,3910
06037600400,-0.135473798,0.410012837,2,No,0.589987163,73.1,4147
06037600501,-0.096529335,0.432092426,2,No,0.567907574,76.5,2712
06037600502,-0.405261764,0.262772786,2,No,0.737227214,78.8,2097
06037600601,0.040138804,0.51309371,3,No,0.48690628999999996,79.6,2653
06037600602,-0.958352182,0.051347882,1,Yes,0.948652118,75.3,2542
06037600702,0.249436484,0.635173299,3,No,0.36482670100000003,79.1,4306
06037600703,0.381638203,0.71732991,3,No,0.28267009,81.0,1783
06037600704,-0.066807026,0.449550706,2,No,0.550449294,78.8,3373
06037600801,0.364731862,0.705776637,3,No,0.29422336299999996,77.0,3199
06037600802,-0.103431726,0.427856226,2,No,0.5721437739999999,76.8,2485
06037600902,-0.527305267,0.199486521,1,Yes,0.800513479,76.5,6491
06037600911,-0.127866302,0.414634146,2,No,0.585365854,77.9,3146
06037600912,-0.30535494,0.313992298,2,No,0.6860077019999999,80.9,5659
06037601001,-0.181681373,0.384467266,2,No,0.6155327340000001,76.4,2381
06037601002,-0.146736006,0.403465982,2,No,0.596534018,76.8,5167
06037601100,-0.707937493,0.121181001,1,Yes,0.878818999,77.7,6869
06037601202,-0.187757929,0.381001284,2,No,0.618998716,78.6,4000
06037601211,-0.488456715,0.219768935,1,Yes,0.780231065,81.3,2880
06037601212,-0.711733958,0.118485237,1,Yes,0.881514763,78.4,6774
06037601301,0.282610021,0.654172015,3,No,0.345827985,75.7,1921
06037601302,-0.360556569,0.284980745,2,No,0.7150192550000001,76.2,7333
06037601303,-0.209385675,0.367650834,2,No,0.632349166,76.5,5084
06037601401,-0.452930549,0.237997433,1,Yes,0.762002567,79.7,5949
06037601402,-0.321704877,0.306803594,2,No,0.693196406,81.6,4793
06037601501,-0.742587333,0.108087291,1,Yes,0.891912709,78.84,3918
06037601502,-0.869054163,0.071887035,1,Yes,0.928112965,76.2,4059
06037601600,-0.471341825,0.227984596,1,Yes,0.772015404,76.2,4439
06037601700,-0.74611913,0.107188703,1,Yes,0.892811297,77.0,5126
06037601801,-0.433991484,0.247111682,1,Yes,0.752888318,79.7,2834
06037601802,-0.355479429,0.288446727,2,No,0.711553273,78.1,3945
06037601900,-0.968280445,0.049935815,1,Yes,0.950064185,75.8,4847
06037602002,-0.408150404,0.261874198,2,No,0.738125802,75.3,3057
06037602003,-0.660509345,0.140693196,1,Yes,0.859306804,83.5,4760
06037602004,-0.492234725,0.218228498,1,Yes,0.781771502,77.98,3709
06037602103,-0.569560555,0.183440308,1,Yes,0.816559692,75.9,6650
06037602104,-0.336487451,0.298202824,2,No,0.701797176,82.9,6091
06037602105,-0.369305947,0.280872914,2,No,0.7191270860000001,78.1,4116
06037602106,-0.36377701,0.283953787,2,No,0.716046213,79.0,5403
06037602200,-0.058268506,0.455969191,2,No,0.544030809,80.4,7200
06037602301,0.249356457,0.635044929,3,No,0.364955071,80.2,6311
06037602302,0.757434154,0.909114249,4,No,0.09088575099999996,85.2,4819
06037602402,-0.268670935,0.336328626,2,No,0.663671374,82.6,6869
